iter	Passed	Remaining
0	177	177754
1	199	99615
2	223	74172
3	248	61918
4	279	55642
5	303	50205
6	326	46280
7	347	43127
8	371	40930
9	394	39041
10	417	37493
11	440	36248
12	463	35184
13	486	34250
14	508	33385
15	530	32606
16	554	32082
17	577	31515
18	597	30861
19	618	30308
20	638	29771
21	660	29359
22	681	28968
23	702	28582
24	725	28280
25	745	27922
26	766	27632
27	787	27332
28	806	27016
29	828	26785
30	851	26616
31	873	26438
32	895	26230
33	914	25995
34	936	25819
35	957	25636
36	978	25472
37	999	25296
38	1020	25141
39	1040	24967
40	1061	24831
41	1084	24733
42	1106	24617
43	1127	24495
44	1147	24361
45	1168	24230
46	1189	24115
47	1209	23992
48	1229	23855
49	1250	23754
50	1272	23687
51	1294	23596
52	1315	23505
53	1336	23418
54	1357	23329
55	1379	23247
56	1401	23185
57	1423	23123
58	1444	23033
59	1465	22961
60	1486	22877
61	1507	22809
62	1528	22737
63	1550	22677
64	1570	22593
65	1591	22527
66	1612	22458
67	1633	22390
68	1655	22337
69	1677	22286
70	1699	22231
71	1721	22185
72	1742	22127
73	1763	22070
74	1783	22000
75	1804	21934
76	1824	21872
77	1847	21833
78	1867	21776
79	1889	21730
80	1910	21675
81	1933	21648
82	1953	21585
83	1975	21537
84	1996	21489
85	2017	21441
86	2038	21391
87	2060	21350
88	2081	21305
89	2102	21254
90	2122	21206
91	2144	21167
92	2165	21119
93	2186	21072
94	2209	21050
95	2230	21006
96	2251	20963
97	2272	20917
98	2293	20871
99	2314	20829
100	2336	20792
101	2357	20756
102	2380	20727
103	2400	20684
104	2423	20654
105	2444	20613
106	2464	20570
107	2485	20529
108	2506	20487
109	2528	20460
110	2551	20435
111	2574	20415
112	2596	20384
113	2620	20367
114	2644	20348
115	2667	20329
116	2689	20295
117	2710	20263
118	2734	20244
119	2757	20219
120	2781	20203
121	2804	20185
122	2828	20170
123	2852	20150
124	2877	20139
125	2907	20165
126	2930	20146
127	2957	20150
128	2981	20131
129	3002	20094
130	3025	20067
131	3046	20032
132	3069	20006
133	3091	19976
134	3113	19952
135	3135	19921
136	3161	19913
137	3185	19898
138	3209	19880
139	3234	19868
140	3256	19840
141	3280	19820
142	3302	19794
143	3325	19766
144	3345	19728
145	3366	19693
146	3388	19659
147	3409	19625
148	3430	19591
149	3451	19556
150	3471	19519
151	3493	19488
152	3515	19460
153	3537	19432
154	3558	19397
155	3578	19362
156	3599	19326
157	3620	19295
158	3641	19259
159	3662	19227
160	3684	19202
161	3706	19174
162	3728	19145
163	3752	19126
164	3775	19105
165	3796	19073
166	3818	19045
167	3840	19020
168	3862	18990
169	3882	18954
170	3903	18923
171	3924	18890
172	3944	18855
173	3968	18836
174	3990	18811
175	4011	18782
176	4033	18755
177	4056	18732
178	4079	18709
179	4102	18689
180	4123	18656
181	4143	18624
182	4164	18593
183	4186	18565
184	4207	18536
185	4229	18508
186	4250	18477
187	4271	18447
188	4291	18414
189	4312	18385
190	4333	18356
191	4354	18326
192	4374	18293
193	4395	18262
194	4416	18230
195	4436	18197
196	4458	18173
197	4477	18137
198	4497	18102
199	4520	18081
200	4542	18055
201	4564	18030
202	4585	18004
203	4608	17983
204	4630	17958
205	4655	17944
206	4677	17918
207	4699	17892
208	4717	17855
209	4735	17815
210	4753	17776
211	4773	17742
212	4793	17710
213	4811	17673
214	4830	17638
215	4851	17609
216	4869	17571
217	4888	17537
218	4909	17509
219	4929	17476
220	4949	17446
221	4971	17422
222	4991	17390
223	5012	17365
224	5034	17340
225	5055	17313
226	5077	17291
227	5100	17268
228	5124	17253
229	5149	17240
230	5175	17227
